,season,bowler,wickets
480,2012,AD Mathews,7
479,2012,AD Mascarenhas,7
514,2012,Harmeet Singh,7
491,2012,B Lee,7
473,2012,AA Chavan,7
723,2013,WD Parnell,7
1174,2018,Harbhajan Singh,7
1206,2018,Mustafizur Rahman,7
728,2014,A Mishra,7
813,2014,SR Watson,7
783,2014,P Awana,7
1263,2019,H Viljoen,7
913,2015,SP Narine,7
646,2013,Iqbal Abdulla,7
947,2016,CR Brathwaite,7
1038,2017,A Zampa,7
799,2014,R Vinay Kumar,7
1201,2018,MM Sharma,7
649,2013,JA Morkel,7
1261,2019,H Gurney,7
901,2015,R Vinay Kumar,7
1298,2019,Mohammed Siraj,7
895,2015,PV Tambe,7
1173,2018,HV Patel,7
665,2013,M Morkel,7
667,2013,MC Henriques,7
553,2012,Pankaj Singh,7
673,2013,MR Marsh,7
547,2012,P Negi,7
781,2014,Mohammed Shami,7
927,2015,Z Khan,7
833,2015,AD Mathews,7
1136,2017,VR Aaron,7
1067,2017,GJ Maxwell,7
674,2013,MS Gony,7
0,2008,A Kumble,7
147,2009,Kamran Khan,7
248,2010,I Sharma,7
241,2010,DP Nannes,7
236,2010,CRD Fernando,7
39,2008,JR Hopes,7
47,2008,M Ntini,7
54,2008,P Amarnath,7
438,2011,S Sreesanth,7
207,2009,YK Pathan,7
191,2009,ST Jayasuriya,7
184,2009,SK Raina,7
358,2011,BJ Hodge,7
412,2011,PC Valthaty,7
104,2009,A Symonds,7
377,2011,J Botha,7
403,2011,MR Marsh,7
385,2011,JH Kallis,7
118,2009,BJ Hodge,7
389,2011,JR Hopes,7
33,2008,I Sharma,7
125,2009,DL Vettori,7
266,2010,L Balaji,7
209,2009,Z Khan,6
185,2009,SK Trivedi,6
804,2014,S Gopal,6
320,2010,UT Yadav,6
73,2008,SC Ganguly,6
580,2012,SW Tait,6
1213,2018,R Tewatia,6
140,2009,JH Kallis,6
981,2016,Kuldeep Yadav,6
976,2016,KH Pandya,6
964,2016,Iqbal Abdulla,6
1117,2017,S Nadeem,6
531,2012,KP Appanna,6
309,2010,SK Raina,6
208,2009,Yuvraj Singh,6
1224,2018,SR Watson,6
578,2012,SR Watson,6
1079,2017,K Rabada,6
61,2008,R Bhatia,6
1068,2017,HH Pandya,6
383,2011,JE Taylor,6
381,2011,JD Unadkat,6
1004,2016,R Bhatia,6
364,2011,DJ Bravo,6
823,2014,WD Parnell,6
169,2009,RA Jadeja,6
1012,2016,S Kaushik,6
179,2009,S Sreesanth,6
1317,2019,S Kaul,6
108,2009,AD Mascarenhas,6
1176,2018,Imran Tahir,6
308,2010,SJ Srivastava,6
105,2009,AB Agarkar,6
1228,2018,T Curran,6
173,2009,RJ Harris,6
213,2010,A Nehra,6
1105,2017,PP Chawla,6
597,2013,A Chandila,6
726,2013,Yuvraj Singh,6
257,2010,Jaskaran Singh,6
451,2011,SW Tait,6
1287,2019,M Ali,6
715,2013,STR Binny,6
743,2014,DS Kulkarni,6
1258,2019,DS Kulkarni,6
44,2008,LR Shukla,6
890,2015,P Negi,6
506,2012,DS Kulkarni,6
523,2012,JEC Franklin,6
905,2015,RS Bopara,6
1248,2019,BA Stokes,6
448,2011,SR Watson,6
513,2012,Harbhajan Singh,6
749,2014,IC Pandey,6
313,2010,SR Watson,6
914,2015,SR Watson,6
437,2011,S Randiv,6
1101,2017,P Kumar,6
920,2015,TG Southee,6
1237,2019,A Joseph,6
1104,2017,PJ Sangwan,5
128,2009,DS Kulkarni,5
1035,2017,A Choudhary,5
281,2010,PD Collingwood,5
641,2013,Harmeet Singh,5
297,2010,RS Bopara,5
290,2010,R Sharma,5
607,2013,AD Mathews,5
378,2011,J Syed Mohammad,5
130,2009,FH Edwards,5
1096,2017,Mohammed Shami,5
1113,2017,S Aravind,5
139,2009,JDP Oram,5
159,2009,MS Gony,5
1109,2017,RA Jadeja,5
730,2014,AB Dinda,5
192,2009,Shoaib Ahmed,5
176,2009,RR Powar,5
963,2016,Imran Tahir,5
727,2013,Z Khan,5
842,2015,BE Hendricks,5
317,2010,T Thushara,5
234,2010,CK Langeveldt,5
330,2010,YK Pathan,5
708,2013,S Sreesanth,5
226,2010,AP Dole,5
331,2010,Yuvraj Singh,5
915,2015,STR Binny,5
334,2011,A Mithun,5
219,2010,AB McDonald,5
941,2016,BCJ Cutting,5
349,2011,AN Ahmed,5
647,2013,J Botha,5
195,2009,TL Suman,5
828,2014,Z Khan,5
991,2016,Mohammed Shami,5
356,2011,B Lee,5
757,2014,JJ Bumrah,5
827,2014,Yuvraj Singh,5
1001,2016,PV Tambe,5
361,2011,CK Langeveldt,5
182,2009,SB Styris,5
180,2009,S Tyagi,5
368,2011,DS Kulkarni,5
1023,2016,Shakib Al Hasan,5
341,2011,AB Dinda,5
468,2012,A Chandila,5
1220,2018,S Mavi,5
1219,2018,S Lamichhane,5
1157,2018,Basil Thampi,5
1162,2018,CR Brathwaite,5
1171,2018,GJ Maxwell,5
1175,2018,I Sodhi,5
93,2008,WPUJC Vaas,5
418,2011,R McLaren,5
548,2012,P Parameswaran,5
82,2008,Shoaib Akhtar,5
424,2011,RE van der Merwe,5
430,2011,RV Gomez,5
67,2008,RR Raje,5
1123,2017,SR Watson,5
1153,2018,B Stanlake,5
62,2008,R Vinay Kumar,5
1230,2018,TG Southee,5
56,2008,PJ Sangwan,5
504,2012,DL Vettori,5
1271,2019,J Behrendorff,5
32,2008,Harbhajan Singh,5
27,2008,DR Smith,5
1288,2019,M Ashwin,5
1301,2019,O Thomas,5
477,2012,AB McDonald,5
1332,2019,TA Boult,5
1155,2018,BB Sran,5
300,2010,S Narwal,5
591,2012,WD Parnell,5
116,2009,B Lee,5
1130,2017,TA Boult,5
1133,2017,TS Mills,5
122,2009,D du Preez,4
746,2014,HV Patel,4
1233,2018,Washington Sundar,4
217,2010,AB Agarkar,4
435,2011,S Nadeem,4
742,2014,DR Smith,4
530,2012,KMDN Kulasekara,4
205,2009,Y Venugopal Rao,4
203,2009,WPUJC Vaas,4
917,2015,Shakib Al Hasan,4
1290,2019,M Santner,4
955,2016,GB Hogg,4
750,2014,IK Pathan,4
115,2009,B Akhil,4
536,2012,M Kartik,4
70,2008,SB Bangar,4
1207,2018,N Rana,4
